epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1640.63,0.80399,2.17152,1.36626,0.32523,0.16608,0.17731,0.08084,2.25435,3.06809,3.38291,0.0677162,9.71429e-05,9.71429e-05
2,2710.12,0.83697,1.63741,1.35185,0.4175,0.50077,0.40871,0.23395,1.34322,3.17529,2.17169,0.0344809,0.000195191,0.000195191
3,3719.71,0.81137,1.56025,1.36234,0.53744,0.54495,0.54694,0.33712,1.11751,2.09274,1.8124,0.00124364,0.000291259,0.000291259
4,4727.85,0.80903,1.50174,1.36844,0.56978,0.55713,0.56942,0.38621,0.98546,1.95153,1.62651,0.00029109,0.00029109,0.00029109
5,5755.72,0.88835,1.42898,1.39353,0.59493,0.75811,0.71687,0.48456,0.96484,1.37132,1.6789,0.00028812,0.00028812,0.00028812
6,6765.14,0.85484,1.32812,1.37943,0.63775,0.65587,0.72442,0.46515,0.99262,1.79587,1.70323,0.00028515,0.00028515,0.00028515
7,8070.36,0.80947,1.28003,1.32192,0.68794,0.61748,0.68559,0.48726,0.94172,1.92281,1.55996,0.00028218,0.00028218,0.00028218
8,9588.6,0.77255,1.2106,1.30594,0.68304,0.62182,0.7607,0.52503,0.97484,1.40139,1.66949,0.00027921,0.00027921,0.00027921
9,11075.1,0.78268,1.17208,1.30847,0.712,0.7834,0.80889,0.59896,0.8163,1.10139,1.41694,0.00027624,0.00027624,0.00027624
10,12277.7,0.80825,1.15697,1.33028,0.60747,0.78964,0.78181,0.5561,0.85038,1.24873,1.42891,0.00027327,0.00027327,0.00027327
11,13298.5,0.82112,1.11948,1.34362,0.78978,0.76064,0.83669,0.5927,0.87673,1.15979,1.49709,0.0002703,0.0002703,0.0002703
12,14310.9,0.82036,1.1446,1.33075,0.69766,0.78244,0.7932,0.59187,0.78003,1.14977,1.35066,0.00026733,0.00026733,0.00026733
13,15328.1,0.77466,1.12592,1.3099,0.83392,0.77054,0.87441,0.62418,1.01992,0.99133,1.58482,0.00026436,0.00026436,0.00026436
14,16346,0.74559,1.07018,1.28104,0.73082,0.79684,0.84621,0.61014,0.82532,1.06775,1.43299,0.00026139,0.00026139,0.00026139
