epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,17357.5,0.74046,1.03077,1.29067,0.82113,0.75271,0.84489,0.64695,0.89131,0.95636,1.44833,0.00025842,0.00025842,0.00025842
16,18378.7,0.73367,0.96413,1.27343,0.76494,0.76676,0.85056,0.63523,0.81114,0.92615,1.39527,0.00025545,0.00025545,0.00025545
17,19680,0.72998,1.00368,1.25327,0.85275,0.78759,0.87088,0.65856,0.83444,0.88313,1.51678,0.00025248,0.00025248,0.00025248
18,21218.5,0.70479,0.96525,1.25592,0.73465,0.78609,0.85339,0.65426,0.88773,1.00693,1.48117,0.00024951,0.00024951,0.00024951
19,22229.9,0.68522,0.95978,1.25796,0.75354,0.85956,0.89036,0.66994,0.86732,0.92263,1.42811,0.00024654,0.00024654,0.00024654
20,23246.2,0.67546,0.92358,1.21919,0.82952,0.85123,0.92563,0.71988,0.77072,0.82034,1.33903,0.00024357,0.00024357,0.00024357
21,24252.6,0.68307,0.89634,1.23872,0.67962,0.83004,0.85202,0.65205,0.77063,1.01989,1.40411,0.0002406,0.0002406,0.0002406
22,25258.3,0.66616,0.88956,1.22314,0.83025,0.80133,0.88983,0.69043,0.76822,0.83802,1.38995,0.00023763,0.00023763,0.00023763
23,26290,0.64833,0.89138,1.21745,0.87069,0.82533,0.91057,0.69039,0.81144,0.80151,1.43503,0.00023466,0.00023466,0.00023466
24,27306,0.66046,0.84749,1.23718,0.83474,0.80729,0.86988,0.67136,0.74616,0.88739,1.33057,0.00023169,0.00023169,0.00023169
25,28320.5,0.58458,0.78421,1.18354,0.80229,0.85101,0.87925,0.67689,0.82072,0.86782,1.44846,0.00022872,0.00022872,0.00022872
26,29342.5,0.65054,0.85749,1.22104,0.85456,0.80161,0.8781,0.69211,0.72913,0.81006,1.37886,0.00022575,0.00022575,0.00022575
27,30366.6,0.63674,0.81636,1.20013,0.88413,0.84047,0.90822,0.6683,0.89719,0.79721,1.48248,0.00022278,0.00022278,0.00022278
28,31377.6,0.64862,0.78266,1.20486,0.84219,0.88398,0.89964,0.69845,0.77931,0.77765,1.37373,0.00021981,0.00021981,0.00021981
29,32384,0.60248,0.77316,1.17075,0.85838,0.85565,0.92584,0.74768,0.69505,0.76097,1.31461,0.00021684,0.00021684,0.00021684
30,33392.6,0.62416,0.77768,1.19441,0.9083,0.83815,0.92573,0.73483,0.71585,0.70118,1.32093,0.00021387,0.00021387,0.00021387
31,34398,0.56777,0.73802,1.14184,0.83577,0.8378,0.91279,0.71806,0.76047,0.78831,1.32075,0.0002109,0.0002109,0.0002109
32,35406.2,0.599,0.75946,1.18988,0.81621,0.86929,0.90064,0.72528,0.68491,0.74282,1.26641,0.00020793,0.00020793,0.00020793
33,36426.2,0.582,0.74588,1.15704,0.87138,0.81713,0.87678,0.70085,0.73256,0.78124,1.35554,0.00020496,0.00020496,0.00020496
34,37439.9,0.60125,0.69585,1.2067,0.85078,0.80847,0.88446,0.70321,0.75569,0.75511,1.39663,0.00020199,0.00020199,0.00020199
35,38606.9,0.57694,0.66381,1.17204,0.85576,0.87796,0.91533,0.73734,0.7098,0.66132,1.26181,0.00019902,0.00019902,0.00019902
36,40136.5,0.5795,0.64456,1.14752,0.85845,0.86878,0.92098,0.70581,0.77506,0.74749,1.35155,0.00019605,0.00019605,0.00019605
37,41261.6,0.61158,0.71277,1.18481,0.82833,0.87701,0.92686,0.72046,0.78693,0.744,1.36188,0.00019308,0.00019308,0.00019308
38,42266.3,0.5376,0.65102,1.12907,0.87663,0.88518,0.92238,0.74513,0.66804,0.68569,1.28505,0.00019011,0.00019011,0.00019011
39,43281.8,0.56613,0.66674,1.15039,0.89134,0.86118,0.92046,0.73195,0.72501,0.66808,1.34489,0.00018714,0.00018714,0.00018714
40,44285.3,0.54081,0.6464,1.13743,0.87576,0.8203,0.90498,0.72205,0.73069,0.75893,1.30043,0.00018417,0.00018417,0.00018417
41,45289.5,0.55606,0.64282,1.14992,0.89882,0.85856,0.90514,0.73993,0.74135,0.64973,1.31491,0.0001812,0.0001812,0.0001812
42,46908.2,0.55912,0.68147,1.14694,0.85758,0.88211,0.92487,0.7478,0.69938,0.67326,1.34164,0.00017823,0.00017823,0.00017823
43,48221.9,0.55135,0.61419,1.13895,0.85498,0.86948,0.91789,0.74366,0.66678,0.67798,1.26569,0.00017526,0.00017526,0.00017526
44,49232.4,0.54646,0.61083,1.16138,0.85294,0.86258,0.9112,0.72848,0.73309,0.69881,1.32163,0.00017229,0.00017229,0.00017229
45,50265,0.52648,0.64197,1.13555,0.82703,0.85535,0.90156,0.74572,0.63768,0.71174,1.22075,0.00016932,0.00016932,0.00016932
46,51285.1,0.54364,0.64717,1.14179,0.85317,0.86599,0.91886,0.74889,0.71099,0.62002,1.31176,0.00016635,0.00016635,0.00016635
47,52281.1,0.5031,0.61028,1.1132,0.86584,0.88899,0.93519,0.7643,0.67685,0.65689,1.31143,0.00016338,0.00016338,0.00016338
48,53269.1,0.55567,0.62816,1.15261,0.82651,0.87916,0.91253,0.73293,0.69873,0.76254,1.29643,0.00016041,0.00016041,0.00016041
49,54262.1,0.48647,0.58087,1.09665,0.87042,0.87769,0.92428,0.73928,0.71023,0.70764,1.3467,0.00015744,0.00015744,0.00015744
50,55250.3,0.528,0.609,1.12246,0.88724,0.87105,0.9195,0.76369,0.69471,0.67333,1.357,0.00015447,0.00015447,0.00015447
51,56240.4,0.49059,0.5803,1.09842,0.85363,0.87811,0.92032,0.75927,0.71268,0.66565,1.35415,0.0001515,0.0001515,0.0001515
52,57226.1,0.5389,0.58254,1.12771,0.84444,0.9096,0.93831,0.76799,0.69423,0.65197,1.32141,0.00014853,0.00014853,0.00014853
53,58218,0.5261,0.54864,1.12693,0.87269,0.86851,0.92442,0.75124,0.66909,0.61898,1.28096,0.00014556,0.00014556,0.00014556
54,59204.4,0.48908,0.53564,1.09131,0.91098,0.9051,0.92828,0.7783,0.62727,0.5774,1.24725,0.00014259,0.00014259,0.00014259
55,60191.8,0.4915,0.53257,1.10749,0.88912,0.89298,0.94116,0.78197,0.65981,0.56516,1.28175,0.00013962,0.00013962,0.00013962
56,61178.2,0.48996,0.53202,1.1037,0.8938,0.90838,0.94932,0.79921,0.63397,0.55331,1.23227,0.00013665,0.00013665,0.00013665
57,62169.4,0.50347,0.55049,1.13372,0.93183,0.84211,0.93634,0.78556,0.63756,0.59704,1.22915,0.00013368,0.00013368,0.00013368
58,63153.1,0.49626,0.53128,1.10959,0.91611,0.90065,0.94392,0.75661,0.72454,0.62695,1.33822,0.00013071,0.00013071,0.00013071
59,64142.7,0.50056,0.5301,1.11098,0.88977,0.89103,0.93843,0.77015,0.66364,0.58142,1.28873,0.00012774,0.00012774,0.00012774
60,65132.3,0.5075,0.5299,1.11281,0.89802,0.84729,0.92221,0.75891,0.6995,0.61638,1.31872,0.00012477,0.00012477,0.00012477
61,66126.2,0.49517,0.54076,1.10504,0.91206,0.87481,0.94321,0.78118,0.63767,0.5687,1.26067,0.0001218,0.0001218,0.0001218
62,67111,0.47879,0.51526,1.10838,0.89436,0.92821,0.95385,0.80499,0.5862,0.5699,1.19736,0.00011883,0.00011883,0.00011883
63,68100.5,0.45995,0.4986,1.08929,0.9056,0.91973,0.95219,0.81511,0.58511,0.52974,1.20717,0.00011586,0.00011586,0.00011586
64,69088,0.44451,0.48948,1.07236,0.91047,0.90238,0.95017,0.7879,0.62131,0.53235,1.25767,0.00011289,0.00011289,0.00011289
65,70075.4,0.477,0.50117,1.09996,0.89782,0.86904,0.92016,0.75746,0.67171,0.61192,1.31785,0.00010992,0.00010992,0.00010992
66,71060.3,0.43688,0.45568,1.06541,0.91778,0.89497,0.93944,0.80464,0.59808,0.54474,1.23945,0.00010695,0.00010695,0.00010695
67,72048.2,0.44746,0.47334,1.07107,0.86802,0.88092,0.91062,0.79081,0.60725,0.57176,1.22892,0.00010398,0.00010398,0.00010398
68,73042.6,0.46204,0.48449,1.06483,0.82617,0.85494,0.89931,0.77369,0.63016,0.68217,1.24722,0.00010101,0.00010101,0.00010101
69,74031.2,0.44538,0.47829,1.0707,0.92017,0.89662,0.92917,0.76207,0.71031,0.56352,1.34968,9.804e-05,9.804e-05,9.804e-05
70,75013,0.45875,0.47505,1.08124,0.87391,0.91509,0.92739,0.76286,0.72181,0.58496,1.36238,9.507e-05,9.507e-05,9.507e-05
71,75999.8,0.42912,0.46159,1.06376,0.89356,0.86244,0.91628,0.76813,0.65226,0.59217,1.26479,9.21e-05,9.21e-05,9.21e-05
72,76985.6,0.42574,0.44367,1.06356,0.90576,0.88651,0.93118,0.78238,0.64276,0.56369,1.25022,8.913e-05,8.913e-05,8.913e-05
73,77964.5,0.42893,0.46946,1.06402,0.89651,0.89961,0.94247,0.79414,0.64863,0.54621,1.25737,8.616e-05,8.616e-05,8.616e-05
74,78946,0.43207,0.44645,1.05843,0.90397,0.92247,0.94324,0.79641,0.63662,0.54032,1.25015,8.319e-05,8.319e-05,8.319e-05
75,79928.9,0.4332,0.47618,1.05579,0.90874,0.91935,0.95592,0.7973,0.5947,0.54463,1.22893,8.022e-05,8.022e-05,8.022e-05
76,81058.4,0.42097,0.43489,1.06256,0.90735,0.91784,0.94998,0.80223,0.59938,0.52389,1.21913,7.725e-05,7.725e-05,7.725e-05
77,82624.2,0.4252,0.44395,1.06772,0.91287,0.88561,0.94176,0.79109,0.63066,0.5366,1.25318,7.428e-05,7.428e-05,7.428e-05
78,83809.1,0.40262,0.41226,1.04877,0.86829,0.90581,0.93766,0.7878,0.62224,0.56833,1.23983,7.131e-05,7.131e-05,7.131e-05
79,84945.9,0.40137,0.4019,1.04454,0.92801,0.8733,0.94378,0.80698,0.60131,0.57297,1.21813,6.834e-05,6.834e-05,6.834e-05
80,86088.2,0.40425,0.42629,1.04104,0.93093,0.91237,0.94374,0.79213,0.64066,0.54106,1.27255,6.537e-05,6.537e-05,6.537e-05
81,87365.9,0.41138,0.42771,1.06021,0.90138,0.92504,0.94239,0.79385,0.62645,0.54815,1.26271,6.24e-05,6.24e-05,6.24e-05
82,88601,0.40192,0.4321,1.0554,0.89622,0.93674,0.94329,0.79306,0.66149,0.52997,1.30077,5.943e-05,5.943e-05,5.943e-05
83,89638.9,0.37676,0.37008,1.02851,0.89656,0.90887,0.94112,0.79857,0.63384,0.53035,1.27147,5.646e-05,5.646e-05,5.646e-05
